participant_id,block_id,trial_index,hazard_rate,noise_sigma,LLR,choice,correct_side,reaction_time_ms,belief_L,subjective_h_snapshot,H,reset_state,prev_observed_belief_L,row_id,split,surrogate_id,generating_model_name,generating_seed,timeout_fallback_count,sample_index
P01,1,1,0.05,0.41,3.226995,1,1,906.0000000000007,3.226995,0.001,0.001,True,0.0,0,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,3,0.05,0.41,1.917467,1,1,1267.9999999999711,1.348992,0.991,0.991,False,-2.307557,2,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,4,0.05,0.41,1.525006,1,1,2058.999999999884,1.927806,0.531,0.531,False,1.348992,3,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,5,0.05,0.41,1.917923,-1,1,1954.9999999998954,2.433343,0.451,0.451,False,1.927806,4,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,6,0.05,0.41,5.353956,1,1,923.0000000000007,5.936859,0.441,0.441,False,2.433343,5,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,7,0.05,0.41,5.353956,1,1,1243.9999999999739,6.053605,0.441,0.441,False,5.936859,6,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,8,0.05,0.41,0.594862,-1,1,1394.9999999999573,1.294952,0.081,0.081,False,6.053605,7,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,11,0.05,0.41,0.734078,1,1,924.0000000000007,1.413055,0.061,0.061,False,4.10377,10,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,12,0.05,0.41,2.836541,1,1,906.0000000000007,3.253835,0.051,0.051,False,1.413055,11,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,13,0.05,0.41,5.294251,1,1,906.0000000000007,5.941676,0.051,0.051,False,3.253835,12,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,15,0.05,0.41,3.753973,1,1,972.0000000000008,4.389664,0.051,0.051,False,3.054267,14,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,16,0.05,0.41,2.345472,1,1,1190.9999999999795,3.030494,0.051,0.051,False,4.389664,15,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,17,0.05,0.41,2.265176,1,1,906.0000000000007,2.899324,0.051,0.051,False,3.030494,16,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,18,0.05,0.41,-0.442225,1,1,1497.9999999999459,0.182801,0.331,0.331,False,2.899324,17,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,19,0.05,0.41,4.813038,1,1,906.0000000000007,4.874673,0.331,0.331,False,0.182801,18,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,21,0.05,0.41,1.054018,1,1,1537.9999999999413,1.75275,0.301,0.301,False,5.730409,20,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
P01,1,22,0.05,0.41,3.388123,1,1,2141.999999999875,3.873756,0.291,0.291,False,1.75275,21,TRAIN,cont_threshold_s000,cont_threshold,1367864806,224,0
