participant_id,block_id,winner_model_name,n_trials,n_change_points,n_stable_trials,change_point_accuracy,stable_accuracy,change_point_median_rt_ms,stable_median_rt_ms,h_vs_abs_psi_spearman,h_vs_shrinkage_spearman,mean_shrinkage_change,mean_shrinkage_stable
P01,1,cont_asymptote,9,1,8,0.0,0.0,909.0,721.5,-0.8086937042208112,0.0,1.4095946646914408,2.5897425033043793
P01,2,cont_asymptote,9,1,8,1.0,0.875,625.0,728.5,-0.8366600265340756,-0.8366600265340756,2.987001010480853,1.7502721279546083
P01,3,cont_asymptote,10,6,4,0.16666666666666666,0.0,759.5,745.5,-0.7236272269866326,-0.44221663871405326,2.215240742288603,2.7668888945646253
P01,4,cont_asymptote,10,4,6,0.5,0.3333333333333333,976.5,661.5,-0.10596065886762515,0.2742511170691474,0.9703647224655675,2.9080206782057476
P02,1,cont_asymptote,10,5,5,0.6,0.6,379.0,392.0,-0.5222329678670935,0.058025885318565944,9.55407659159113,10.174741257429677
P02,2,cont_asymptote,10,1,9,1.0,1.0,393.0,425.0,-0.7977240352174656,-0.2659080117391552,8.09826420963653,8.772110573137422
P02,3,cont_asymptote,10,2,8,0.5,1.0,475.5,397.0,-0.6963106238227913,0.2611164839335467,7.725182368486864,9.665166120012955
P02,4,cont_asymptote,10,1,9,0.0,1.0,527.0,382.0,,,7.49032313467486,7.84413450738024
P03,1,cont_asymptote,10,1,9,0.0,0.0,491.0,447.0,,,4.5701353305037635,7.403905037628901
P03,2,cont_asymptote,10,3,7,0.3333333333333333,0.2857142857142857,380.0,395.0,,,8.466905582277318,9.136301234111238
P03,3,cont_asymptote,10,2,8,0.5,0.5,406.0,344.0,-0.5918640302493727,0.31333978072025614,5.453081225220549,4.620453611305448
P03,4,cont_asymptote,10,5,5,0.6,1.0,358.0,397.0,-0.9211323729436766,-0.6447926610605735,5.953888816111823,7.119588970619207
