row_id,participant_id,block_id,trial_index,winner_model_name,choice,correct_side,is_choice_correct,reaction_time_ms,H,prev_observed_belief_L,psi_t,abs_prev_belief_L,abs_psi_t,psi_shrinkage_abs,is_change_point
30,P01,1,31,cont_asymptote,-1,0,0,909,0.231,2.36876,0.9591653353085592,2.36876,0.9591653353085592,1.4095946646914408,1
31,P01,1,32,cont_asymptote,-1,0,0,1012,0.211,-4.77828,-1.2901897387247945,4.77828,1.2901897387247945,3.488090261275205,0
33,P01,1,34,cont_asymptote,-1,0,0,1629,0.201,-3.728027,-1.2948172246009622,3.728027,1.2948172246009622,2.433209775399038,0
34,P01,1,35,cont_asymptote,1,0,0,730,0.281,-3.256659,-0.8604530772342524,3.256659,0.8604530772342524,2.3962059227657475,0
35,P01,1,36,cont_asymptote,-1,0,0,713,0.271,0.133814,0.061214632655317125,0.133814,0.061214632655317125,0.07259936734468286,0
36,P01,1,37,cont_asymptote,-1,0,0,642,0.271,-5.308787,-0.9781702742103608,5.308787,0.9781702742103608,4.330616725789639,0
37,P01,1,38,cont_asymptote,1,0,0,682,0.331,-3.982086,-0.6758542687856636,3.982086,0.6758542687856636,3.306231731214336,0
38,P01,1,39,cont_asymptote,-1,0,0,822,0.331,0.102516,0.03462355168337994,0.102516,0.03462355168337994,0.06789244831662006,0
39,P01,1,40,cont_asymptote,-1,0,0,609,0.331,-5.319332,-0.6962382056702343,5.319332,0.6962382056702343,4.623093794329765,0
70,P01,2,31,cont_asymptote,1,1,1,625,0.021,6.777281,3.7902799895191475,6.777281,3.7902799895191475,2.987001010480853,1
71,P01,2,32,cont_asymptote,1,1,1,1314,0.021,7.056866,3.802652093376655,7.056866,3.802652093376655,3.2542139066233453,0
72,P01,2,33,cont_asymptote,1,1,1,744,0.021,5.356414,3.643309496216294,5.356414,3.643309496216294,1.7131045037837058,0
73,P01,2,34,cont_asymptote,1,1,1,1733,0.021,8.529467,3.8328455263183354,8.529467,3.8328455263183354,4.696621473681665,0
74,P01,2,35,cont_asymptote,1,1,1,685,0.021,3.744987,3.099681592754627,3.744987,3.099681592754627,0.645305407245373,0
75,P01,2,36,cont_asymptote,1,1,1,593,0.021,7.397815,3.8138641800833657,7.397815,3.8138641800833657,3.583950819916634,0
77,P01,2,38,cont_asymptote,-1,1,0,713,0.041,0.207369,0.19025733130260214,0.207369,0.19025733130260214,0.017111668697397858,0
78,P01,2,39,cont_asymptote,1,1,1,747,0.031,-0.943035,-0.8764697966437662,0.943035,0.8764697966437662,0.06656520335623373,0
79,P01,2,40,cont_asymptote,1,1,1,519,0.031,-0.398495,-0.3731909596674887,0.398495,0.3731909596674887,0.02530404033251127,0
110,P01,3,31,cont_asymptote,1,1,1,1165,0.091,5.519439,2.2626305514053495,5.519439,2.2626305514053495,3.2568084485946507,1
111,P01,3,32,cont_asymptote,-1,0,0,1824,0.121,3.104382,1.7071128898916,3.104382,1.7071128898916,1.3972691101084003,1
