row_id,participant_id,block_id,trial_index,split,winner_model_name,choice,correct_side,predicted_decision,predicted_choice_binary,predicted_timeout,choice_match_excluding_timeout,reaction_time_ms,predicted_rt_ms,belief_L,predicted_belief,H,LLR
0,P01,1,1,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,3178.0,3992.999999999671,3.226995,8.071228102023074,0.001,3.226995
2,P01,1,3,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1569.0,656.0000000000005,1.348992,1.002191563177728,0.991,1.917467
3,P01,1,4,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,967.0,4005.9999999996726,1.927806,1.1575585251209912,0.531,1.525006
4,P01,1,5,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,774.0,3501.9999999997253,2.433343,1.4972361493020065,0.451,1.917923
5,P01,1,6,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1029.0,1495.999999999946,5.936859,2.500767964279064,0.441,5.353956
6,P01,1,7,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,985.0,1488.9999999999468,6.053605,2.500770919194094,0.441,5.353956
7,P01,1,8,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,706.0,656.0000000000005,1.294952,2.2555977737756856,0.081,0.594862
10,P01,1,11,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1974.0,656.0000000000005,1.413055,2.503131337831965,0.061,0.734078
11,P01,1,12,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1481.0,2899.9999999997917,3.253835,4.014819950632385,0.051,2.836541
12,P01,1,13,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,4914.0,1417.9999999999545,5.941676,4.6380245845379875,0.051,5.294251
14,P01,1,15,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,580.0,1942.9999999998968,4.389664,4.294642013376884,0.051,3.753973
15,P01,1,16,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,355.0,2670.9999999998167,3.030494,3.8250629224057873,0.051,2.345472
16,P01,1,17,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,849.0,3009.9999999997794,2.899324,3.790299726127393,0.051,2.265176
17,P01,1,18,TRAIN,cont_asymptote,-1,1,0,,1,,1419.0,5000.000000000005,0.182801,-0.5965824664530047,0.331,-0.442225
18,P01,1,19,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,3549.0,1727.9999999999204,4.874673,2.6789876880310706,0.331,4.813038
20,P01,1,21,TRAIN,cont_asymptote,1,1,0,,1,,1418.0,5000.000000000005,1.75275,1.3249263646138982,0.301,1.054018
21,P01,1,22,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,1088.0,2223.9999999998663,3.873756,2.459550984069026,0.291,3.388123
23,P01,1,24,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,850.0,4958.999999999991,1.41778,1.1222831803170124,0.261,0.717787
24,P01,1,25,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,699.0,1592.9999999999354,5.440759,2.9568832681225925,0.261,5.022416
25,P01,1,26,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,670.0,1415.9999999999548,6.051039,3.020416813477634,0.261,5.353956
26,P01,1,27,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,910.0,1868.999999999905,-4.44779,-2.981401885742793,0.261,-5.147871
27,P01,1,28,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,1104.0,656.0000000000005,-1.054067,-1.0123166272943547,0.231,-0.368008
28,P01,1,29,TRAIN,cont_asymptote,-1,0,0,,1,,911.0,5000.000000000005,-1.499233,-1.7395662650577255,0.211,-1.1697
30,P01,1,31,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,909.0,1810.9999999999113,-4.77828,-3.141898802945633,0.231,-5.353956
31,P01,1,32,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,1012.0,656.0000000000005,-1.310026,-1.2446596679577377,0.211,-0.619063
33,P01,1,34,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,1629.0,2626.9999999998217,-3.256659,-2.558993621319406,0.201,-2.588615
34,P01,1,35,TEST,cont_asymptote,1,0,0,,1,,730.0,5000.000000000005,0.133814,1.1005823811047482,0.281,0.78139
35,P01,1,36,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,713.0,1625.9999999999318,-5.308787,-2.983051891049697,0.271,-5.353956
36,P01,1,37,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,642.0,2172.9999999998718,-3.982086,-2.4995226721952317,0.271,-3.285926
37,P01,1,38,TEST,cont_asymptote,1,0,0,,1,,682.0,5000.000000000005,0.102516,0.9832308323927135,0.331,0.778371
38,P01,1,39,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,822.0,1588.9999999999359,-5.319332,-2.7844976003400004,0.331,-5.353956
39,P01,1,40,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,609.0,1668.999999999927,-5.245965,-2.6233376102209327,0.331,-4.549726
40,P01,2,1,TRAIN,cont_asymptote,-1,0,0,,1,,736.0,5000.000000000005,-1.409163,-6.450912089376067,0.001,-1.409163
41,P01,2,2,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,881.0,2226.999999999866,-6.647868,-8.57703262138951,0.001,-5.353956
42,P01,2,3,TRAIN,cont_asymptote,-1,1,0,,1,,805.0,5000.000000000005,-3.926944,-6.247413314903463,0.001,-0.52436
43,P01,2,4,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,848.0,2595.999999999825,1.273233,3.6389543508318876,0.111,4.236247
44,P01,2,5,TRAIN,cont_asymptote,1,1,0,,1,,562.0,5000.000000000005,2.397326,2.4938464659944666,0.101,1.223392
45,P01,2,6,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,693.0,1451.999999999951,7.452818,3.9668610813133003,0.101,5.353956
46,P01,2,7,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,534.0,1895.999999999902,6.957805,3.5521818505446956,0.101,3.53347
47,P01,2,8,TRAIN,cont_asymptote,1,0,1,1.0,0,1.0,625.0,789.0000000000006,4.319655,2.420768976762266,0.081,0.906646
48,P01,2,9,TRAIN,cont_asymptote,1,0,0,,1,,1225.0,5000.000000000005,2.353964,-1.40285199261448,0.051,-0.740993
49,P01,2,10,TRAIN,cont_asymptote,-1,0,0,,1,,774.0,5000.000000000005,0.2257,-3.0017462430451256,0.091,-1.841031
50,P01,2,11,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,925.0,4140.999999999717,2.308632,3.252066459223945,0.081,2.097033
51,P01,2,12,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,656.0,2294.999999999858,5.276275,3.6869006581921315,0.081,3.243506
52,P01,2,13,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,508.0,656.0000000000005,4.050919,2.4526096938417745,0.071,0.756703
53,P01,2,14,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,489.0,1349.999999999962,8.362356,4.318768415432924,0.071,5.353956
